	Heit(m)	air(kg/m3)
791	791000.0	1.547e-14
792	792000.0	1.5370000000000002e-14
793	793000.0	1.527e-14
794	794000.0	1.517e-14
795	795000.0	1.507e-14
796	796000.0	1.4969999999999998e-14
797	797000.0	1.4880000000000002e-14
798	798000.0	1.478e-14
799	799000.0	1.4690000000000002e-14
800	800000.0	1.46e-14
801	801000.0	1.45e-14
802	802000.0	1.441e-14
803	803000.0	1.4320000000000002e-14
804	804000.0	1.423e-14
805	805000.0	1.415e-14
806	806000.0	1.406e-14
807	807000.0	1.397e-14
808	808000.0	1.388e-14
809	809000.0	1.38e-14
810	810000.0	1.3719999999999999e-14
811	811000.0	1.3630000000000001e-14
812	812000.0	1.355e-14
813	813000.0	1.347e-14
814	814000.0	1.339e-14
815	815000.0	1.3309999999999999e-14
816	816000.0	1.323e-14
817	817000.0	1.315e-14
818	818000.0	1.307e-14
819	819000.0	1.299e-14
820	820000.0	1.292e-14
821	821000.0	1.2839999999999999e-14
822	822000.0	1.277e-14
823	823000.0	1.2689999999999999e-14
824	824000.0	1.262e-14
825	825000.0	1.2550000000000001e-14
826	826000.0	1.2470000000000001e-14
827	827000.0	1.24e-14
828	828000.0	1.233e-14
829	829000.0	1.226e-14
830	830000.0	1.2190000000000001e-14
831	831000.0	1.212e-14
832	832000.0	1.205e-14
833	833000.0	1.199e-14
834	834000.0	1.192e-14
835	835000.0	1.185e-14
836	836000.0	1.179e-14
837	837000.0	1.172e-14
838	838000.0	1.166e-14
839	839000.0	1.1590000000000001e-14
840	840000.0	1.153e-14
841	841000.0	1.147e-14
842	842000.0	1.1399999999999999e-14
843	843000.0	1.134e-14
844	844000.0	1.128e-14
845	845000.0	1.122e-14
846	846000.0	1.1160000000000001e-14
847	847000.0	1.11e-14
848	848000.0	1.104e-14
849	849000.0	1.098e-14
850	850000.0	1.092e-14
851	851000.0	1.087e-14
852	852000.0	1.081e-14
853	853000.0	1.075e-14
854	854000.0	1.069e-14
855	855000.0	1.0640000000000001e-14
856	856000.0	1.058e-14
857	857000.0	1.053e-14
858	858000.0	1.047e-14
859	859000.0	1.042e-14
860	860000.0	1.037e-14
861	861000.0	1.0309999999999999e-14
862	862000.0	1.0259999999999999e-14
863	863000.0	1.021e-14
864	864000.0	1.0150000000000001e-14
865	865000.0	1.0100000000000001e-14
866	866000.0	1.005e-14
867	867000.0	1e-14
868	868000.0	9.95e-15
869	869000.0	9.899999999999999e-15
870	870000.0	9.85e-15
871	871000.0	9.801e-15
872	872000.0	9.752e-15
873	873000.0	9.704e-15
874	874000.0	9.656e-15
875	875000.0	9.608e-15
876	876000.0	9.56e-15
877	877000.0	9.513e-15
878	878000.0	9.466e-15
879	879000.0	9.420000000000001e-15
880	880000.0	9.374e-15
881	881000.0	9.328e-15
882	882000.0	9.283e-15
883	883000.0	9.237999999999999e-15
884	884000.0	9.193000000000001e-15
885	885000.0	9.149e-15
886	886000.0	9.105000000000001e-15
887	887000.0	9.061e-15
888	888000.0	9.018e-15
889	889000.0	8.975000000000001e-15
890	890000.0	8.931999999999999e-15
891	891000.0	8.888999999999999e-15
892	892000.0	8.847e-15
893	893000.0	8.805e-15
894	894000.0	8.764000000000001e-15
895	895000.0	8.723e-15
896	896000.0	8.682e-15
897	897000.0	8.641e-15
898	898000.0	8.600000000000001e-15
899	899000.0	8.56e-15
900	900000.0	8.52e-15
901	901000.0	8.481e-15
902	902000.0	8.441e-15
903	903000.0	8.402e-15
904	904000.0	8.364e-15
905	905000.0	8.325e-15
